#{"t_start": 1657721762.1764545, "env_id": "CustomHopper-source-v0"}
r,l,t
20.63607,31,1.141676
5.827332,12,1.151127
14.136641,19,1.164396
16.490224,18,1.176696
12.639247,19,1.189988
18.94845,18,1.202636
5.508196,12,1.210938
8.615184,17,1.222798
14.174206,14,1.232362
10.784543,11,1.239912
9.034183,18,1.252386
35.434313,29,1.27235
4.650675,8,1.277929
10.037161,26,1.296086
8.042925,12,1.304363
6.974799,10,1.311281
3.104321,15,1.321738
16.563943,16,1.332916
22.556656,29,1.353176
12.425146,24,1.369835
7.72827,10,1.376694
20.251135,27,1.39554
3.386204,24,1.412113
2.965302,10,1.419046
10.759537,19,1.432207
5.02062,9,1.438369
20.115129,21,1.453034
7.97688,13,1.461926
34.401393,38,1.488268
47.460367,32,1.510391
5.033771,9,1.516638
6.405202,9,1.522855
2.982206,7,1.527596
8.916397,14,1.537165
10.405441,25,1.554605
9.872011,14,1.564164
8.111049,17,1.576052
9.381906,13,1.58493
18.17908,19,1.598239
13.532686,18,1.610734
8.416397,12,1.619023
19.950791,20,1.632997
4.11992,8,1.63851
7.547744,16,1.649561
3.532392,28,1.668938
5.261097,11,1.676535
27.65755,29,1.696849
16.56831,26,1.715004
18.748948,36,1.739887
27.673528,26,1.757996
5.823249,11,1.765545
3.021216,25,1.78306
25.387945,26,1.800887
23.577631,25,1.818457
22.443263,24,1.835499
8.837523,11,1.84351
6.298344,12,1.851858
8.804614,11,1.859437
5.673359,17,1.871071
3.880048,15,1.881507
8.083156,19,1.894745
13.356938,38,1.92133
8.143663,13,1.930227
6.059778,10,1.937072
10.94253,32,1.959126
47.351141,34,1.982443
44.478188,42,2.011535
6.734692,19,2.025262
7.560456,10,2.032148
14.521145,16,2.043144
9.955368,13,2.052053
6.918145,9,2.058242
7.696255,15,2.0687
6.797176,9,2.074919
18.440629,40,2.102748
24.90553,31,2.12426
69.074912,44,2.154772
13.758213,17,2.166627
10.861372,21,2.181118
10.008143,16,2.192163
14.668931,19,2.205082
51.096055,45,2.236369
29.751958,24,2.252876
11.228109,15,2.263424
10.216689,19,2.276618
6.993375,12,2.284882
17.031339,22,2.299919
14.966194,28,2.31992
9.593549,13,2.328787
22.072227,41,2.357234
21.493463,29,2.377164
10.547021,11,2.384755
11.447944,22,2.400236
14.567982,22,2.415496
7.125908,9,2.421734
12.532024,18,2.433998
39.580106,40,2.461637
12.989399,18,2.473996
10.069356,18,2.48645
6.014694,11,2.493885
6.949423,11,2.501493
7.678951,14,2.511358
8.597615,12,2.519638
7.270323,10,2.526302
13.125737,14,2.535733
5.186561,9,3.455287
91.181827,61,3.496844
9.735305,12,3.505241
22.866031,23,3.52111
8.482898,13,3.529973
11.773851,18,3.542214
25.559762,28,3.561448
9.188026,12,3.569512
6.586889,22,3.584324
5.133746,8,3.589833
58.343271,46,3.621263
30.641308,31,3.642564
119.109798,75,3.694042
7.360828,12,3.702227
16.312897,33,3.725099
5.829733,15,3.735548
6.728617,16,3.746353
7.461017,10,3.753091
40.527659,31,3.774308
33.814117,35,3.798457
14.939117,21,3.812864
16.603445,25,3.830181
11.437146,13,3.839242
9.142935,14,3.848693
93.736508,50,3.882783
17.667465,20,3.896657
15.163997,15,3.907246
7.365416,18,3.919646
16.844854,22,3.935009
23.164817,25,3.952189
24.56366,21,3.966437
5.575624,21,3.98096
12.795212,21,3.995399
9.55464,22,4.010531
32.190026,25,4.027668
13.272188,32,4.04941
20.904327,23,4.065084
53.313789,31,4.08618
10.227878,13,4.095095
106.847808,57,4.134106
14.568471,22,4.149268
32.150119,24,4.165802
6.58849,9,4.171878
8.959326,24,4.188313
32.94013,26,4.206175
17.271478,18,4.218261
66.416897,38,4.244103
8.361165,15,4.25445
21.704147,22,4.26936
6.632671,12,4.277417
4.636477,9,4.283576
8.538133,25,4.300676
73.051638,58,4.340347
27.385009,24,4.356582
26.018954,25,4.373945
8.166296,13,4.382723
27.713853,24,4.399019
8.234344,12,4.407238
8.231817,12,4.415418
9.720468,11,4.423007
7.028907,9,4.42926
57.668386,40,4.456174
21.976401,24,4.472569
4.225238,15,4.482759
20.553985,23,4.498544
21.697842,24,4.514871
16.343686,21,4.529295
10.28474,16,4.540447
4.278883,11,4.547967
18.743773,29,4.567987
3.820056,9,4.574048
72.468717,42,4.602937
24.392816,21,4.6175
11.356348,14,4.627064
158.091889,93,4.689911
45.041919,30,4.710549
15.787053,15,4.721005
19.198386,27,4.739293
12.510663,15,4.749622
8.526232,13,4.758392
10.936595,15,4.768715
14.054199,32,4.790661
98.358987,52,4.826044
9.423547,20,4.839899
8.907315,23,4.855727
88.590262,48,5.797833
145.455529,74,5.84898
82.230972,46,5.880698
126.636969,73,5.930684
11.876425,13,5.939617
86.182774,49,5.973168
46.7927,26,5.991123
5.677142,11,5.998533
126.553118,96,6.064028
11.775882,13,6.072846
8.046134,14,6.082504
118.474207,61,6.124156
7.745228,11,6.131567
16.274246,19,6.144789
67.657807,38,6.170703
68.10099,39,6.197055
90.273448,54,6.233731
74.644502,42,6.262425
61.350287,48,6.295312
40.107538,50,6.32958
22.059086,19,6.342574
10.757789,12,6.350679
90.82442,57,6.389778
16.264627,21,6.404346
71.595203,43,6.433574
23.07772,22,6.448984
4.477582,10,6.455902
23.698196,27,6.474093
9.204033,16,6.485062
82.308534,46,6.516367
27.990468,32,6.538402
8.940236,12,6.546805
8.598798,12,6.55488
74.734533,45,6.585343
14.282247,15,6.595746
14.890689,15,6.605959
85.215134,48,6.638751
86.38615,48,6.671165
124.678092,67,6.716888
15.45799,17,6.728673
67.977873,39,6.755427
21.873706,19,6.768431
33.882412,31,6.789885
65.771151,58,6.829431
12.190028,16,6.840641
156.316643,73,6.89007
108.748434,71,6.938321
119.817086,72,6.987756
75.579518,45,7.018947
47.933629,39,7.045523
56.740766,63,7.088801
56.602758,33,7.11139
31.549089,26,7.129327
41.028168,29,7.149006
11.682939,15,7.159358
10.243129,12,8.077458
12.86887,15,8.08791
56.625575,33,8.110718
145.455552,108,8.183699
131.549422,69,8.230365
80.048693,44,8.26034
109.07938,55,8.2982
55.580894,32,8.320312
78.778687,40,8.347402
53.928571,32,8.369184
128.59719,78,8.422743
117.809059,69,8.469847
92.220726,66,8.515058
91.092389,49,8.548356
16.36371,18,8.560789
56.318065,30,8.581165
63.293358,38,8.607087
117.201372,60,8.647892
39.485763,52,8.683708
154.251106,79,8.737962
71.920449,45,8.76909
139.967878,66,8.813767
5.838939,16,8.825063
17.567292,16,8.835912
104.960701,57,8.874606
135.754286,72,8.924135
75.231398,47,8.956874
185.762371,104,9.028539
66.93476,38,9.054674
125.723634,63,9.097459
100.982024,57,9.136317
70.646549,80,9.191065
62.29609,37,9.216438
28.952965,24,9.232801
80.1463,48,9.265488
75.85565,45,9.296232
97.944803,58,9.336167
218.329367,142,9.433463
53.345898,31,9.454909
15.879299,15,9.465349
97.532832,60,10.419226
70.420061,40,10.446572
64.052749,37,10.471907
98.381329,52,10.507267
90.452795,59,10.54814
178.74633,83,10.605052
121.352515,86,10.66485
180.787289,88,10.725483
143.042802,76,10.777203
125.506258,64,10.820553
122.064067,62,10.862862
15.085808,16,10.873982
73.010449,41,10.901929
18.663942,30,10.92285
203.810745,86,10.981502
115.203779,58,11.021084
76.229718,43,11.050697
178.495098,95,11.115661
50.527073,48,11.148759
49.619938,28,11.168148
79.912742,44,11.198483
75.625177,44,11.228791
149.398486,73,11.278735
47.666081,33,11.30132
80.843965,51,11.336386
184.420683,84,11.394112
65.061777,37,11.419499
84.469421,49,11.453278
87.032195,50,11.487622
164.524484,82,11.543516
104.982179,57,11.582456
23.634075,21,11.596821
72.923298,41,11.624871
28.377205,22,11.639825
67.226296,41,11.668102
99.447087,58,11.707936
205.838316,87,11.766825
77.165166,48,12.709612
185.169035,89,12.770035
129.512417,69,12.817245
238.585456,108,12.891116
211.190349,93,12.954556
114.508246,59,12.994517
43.896847,27,13.013018
222.379867,113,13.089854
172.555429,82,13.145339
70.501609,49,13.17929
68.126653,39,13.205894
105.716145,56,13.244235
168.677693,80,13.298696
158.149749,80,13.353307
99.94356,55,13.390516
37.436297,29,13.41046
40.326372,29,13.430344
94.288775,50,13.464427
6.203701,10,13.471101
148.602184,70,13.518444
140.542762,66,13.563027
93.048913,50,13.59697
136.318898,71,13.645021
84.489178,58,13.684528
70.168843,39,13.71117
81.517402,46,13.742211
102.226371,56,13.780154
99.544955,54,13.817093
180.344354,82,13.872828
100.696766,64,13.916927
192.607699,93,13.98069
204.132727,92,14.042708
107.089408,56,14.080973
63.180773,36,15.01476
91.884879,55,15.052265
167.708647,85,15.109914
55.768794,32,15.131792
51.462722,29,15.151715
61.816678,36,15.176278
140.471034,70,15.223797
208.416778,105,15.295098
81.288576,45,15.325825
60.213783,35,15.349616
148.890745,70,15.397494
116.775618,66,15.442961
207.370847,93,15.506128
246.141727,114,15.583113
69.052613,44,15.612775
38.769253,29,15.632773
112.212617,61,15.674088
78.229643,45,15.704573
260.172352,109,15.777907
244.443826,107,15.850224
97.470388,52,15.88551
175.829301,78,15.938961
82.539039,46,15.970048
190.845408,93,16.033668
188.727115,83,16.090141
188.784609,86,16.148563
93.690273,50,16.182196
182.265237,88,16.241811
55.736892,32,16.263699
206.552983,100,16.331641
