#{"t_start": 1657722338.7432427, "env_id": "CustomHopper-source-v0"}
r,l,t
20.63607,31,0.062905
5.827332,12,0.073603
14.136641,19,0.091902
16.490224,18,0.110809
12.639247,19,0.131693
18.94845,18,0.149122
5.508196,12,0.160445
8.615184,17,0.175707
14.174206,14,0.187413
10.784543,11,0.197749
9.034183,18,0.217268
35.434313,29,0.246554
4.650675,8,0.255261
10.037161,26,0.27994
8.042925,12,0.291209
6.974799,10,0.300207
3.104321,15,0.314992
16.563943,16,0.328994
22.556656,29,0.355122
12.425146,24,0.376914
7.72827,10,0.386084
20.251135,27,0.410696
3.386204,24,0.432395
2.965302,10,0.44143
10.759537,19,0.459236
5.02062,9,0.467064
20.115129,21,0.486403
7.97688,13,0.498008
34.401393,38,0.532144
47.460367,32,0.56147
5.033771,9,0.569472
6.405202,9,0.577401
2.982206,7,0.583725
8.916397,14,0.596822
10.405441,25,0.619025
9.872011,14,0.631789
8.111049,17,0.647239
9.381906,13,0.660671
18.17908,19,0.678872
13.532686,18,0.69691
8.416397,12,0.708228
19.950791,20,0.726834
4.11992,8,0.734759
7.547744,16,0.75065
3.532392,28,0.77636
5.261097,11,0.786233
27.65755,29,0.812661
16.56831,26,0.836773
18.748948,36,0.869947
27.673528,26,0.893427
5.823249,11,0.903477
3.021216,25,0.926081
25.387945,26,0.950707
23.577631,25,0.973412
22.443263,24,0.995651
8.837523,11,1.006342
6.298344,12,1.016704
8.804614,11,1.026602
5.673359,17,1.041566
3.880048,15,1.056333
8.083156,19,1.073688
13.356938,38,1.108893
8.143663,13,1.120704
6.059778,10,1.12987
10.94253,32,1.160626
47.351141,34,1.19118
44.478188,42,1.229563
6.734692,19,1.248444
7.560456,10,1.258163
14.521145,16,1.272552
9.955368,13,1.284782
6.918145,9,1.293375
7.696255,15,1.30699
6.797176,9,1.314837
18.440629,40,1.351758
24.90553,31,1.379709
69.074912,44,1.420154
13.758213,17,1.437537
10.861372,21,1.457133
10.008143,16,1.471617
14.668931,19,1.488984
51.096055,45,1.529238
29.751958,24,1.551163
11.228109,15,1.565156
10.216689,19,1.58201
6.993375,12,1.593554
17.031339,22,1.613721
14.966194,28,1.639802
9.593549,13,1.652509
22.072227,41,1.690102
21.493463,29,1.716414
10.547021,11,1.726286
11.447944,22,1.74744
14.567982,22,1.768534
7.125908,9,1.776583
12.532024,18,1.793437
39.580106,40,1.829487
12.989399,18,1.845959
10.069356,18,1.863108
6.014694,11,1.872611
6.949423,11,1.882853
7.678951,14,1.896388
8.597615,12,1.907138
7.270323,10,1.916284
13.125737,14,1.928288
5.15911,9,2.192919
73.459434,45,2.234653
28.077504,28,2.261456
19.683953,20,2.279458
13.429242,16,2.294706
9.523469,14,2.307693
41.285857,34,2.338945
9.784841,13,2.351186
6.00132,13,2.36378
7.567759,11,2.373559
62.35619,37,2.407434
3.966635,9,2.415287
24.824966,28,2.44111
69.623202,58,2.495726
32.445038,30,2.522946
26.427357,44,2.564811
15.271719,24,2.58692
7.590963,10,2.596045
115.994169,74,2.665532
11.370056,17,2.680701
21.646988,26,2.705519
10.961873,13,2.717589
114.911518,59,2.774309
18.011467,20,2.793647
16.495734,16,2.808555
14.542415,28,2.833699
5.050011,12,2.845448
20.203306,24,2.868883
110.341821,88,2.950083
19.640652,18,2.967506
9.58262,15,2.980716
37.615645,36,3.015238
90.387658,49,3.060696
99.573429,54,3.110524
28.825466,29,3.137614
50.123315,33,3.168907
9.588177,23,3.190711
29.878784,25,3.21341
20.768015,21,3.234115
65.509553,38,3.27077
8.525813,14,3.283426
19.316046,20,3.302878
4.708727,10,3.312299
